 region                                  model                                                              sku   limit   used  available  unit
 swedencentral              OpenAI.ProvisionedManaged                                        OpenAI.ProvisionedManaged       0      0          0 Count
 swedencentral        OpenAI.GlobalProvisionedManaged                                  OpenAI.GlobalProvisionedManaged       0      0          0 Count
 swedencentral                                  Dalle                                            OpenAI.Standard.Dalle       2      1          1 Count
 swedencentral                            Deployments                                     OpenAI.FineTuned.Deployments      10      0         10 Count
 swedencentral                           AccountCount                                           OpenAI.S0.AccountCount      30      1         29 Count
 swedencentral                                whisper                                          OpenAI.Standard.whisper       3      0          3 Count
 swedencentral                                    tts                                              OpenAI.Standard.tts       3      0          3 Count
 swedencentral                                 tts-hd                                           OpenAI.Standard.tts-hd       3      3          0 Count
 swedencentral      OpenAI.DataZoneProvisionedManaged                                OpenAI.DataZoneProvisionedManaged       0      0          0 Count
 swedencentral                                  gpt-4                                            OpenAI.Standard.gpt-4       0      0          0 Count
 swedencentral                            gpt-4-turbo                                      OpenAI.Standard.gpt-4-turbo       0      0          0 Count
 swedencentral                  gpt-4-turbo-2024-0409                      OpenAI.GlobalStandard.gpt-4-turbo-2024-0409     450      0        450 Count
 swedencentral                         gpt-4-finetune                                   OpenAI.Standard.gpt-4-finetune     100      0        100 Count
 swedencentral                        gpt-4o-finetune                                  OpenAI.Standard.gpt-4o-finetune     250      0        250 Count
 swedencentral                        gpt-4o-finetune                            OpenAI.GlobalStandard.gpt-4o-finetune     250      0        250 Count
 swedencentral                   gpt-4o-mini-finetune                             OpenAI.Standard.gpt-4o-mini-finetune     500      0        500 Count
 swedencentral                   gpt-4o-mini-finetune                       OpenAI.GlobalStandard.gpt-4o-mini-finetune     500      0        500 Count
 swedencentral                              gpt-4-32k                                        OpenAI.Standard.gpt-4-32k      80      0         80 Count
 swedencentral                                   gptv                                             OpenAI.Standard.gptv      30      0         30 Count
 swedencentral                                  gpt-4                                         OpenAI.GlobalBatch.gpt-4   30000      0      30000 Count
 swedencentral                            gpt-4-turbo                                   OpenAI.GlobalBatch.gpt-4-turbo   80000      0      80000 Count
 swedencentral                                 gpt-4o                                        OpenAI.GlobalBatch.gpt-4o  200000      0     200000 Count
 swedencentral                            gpt-4o-mini                                   OpenAI.GlobalBatch.gpt-4o-mini 1000000      0    1000000 Count
 swedencentral                                    CUA                                        OpenAI.GlobalStandard.CUA     450      0        450 Count
 swedencentral                   gpt-4o-audio-preview                          OpenAI.Provisioned.gpt-4o-audio-preview       0      0          0 Count
 swedencentral                                 gpt-4o                                           OpenAI.Standard.gpt-4o     261    111        150 Count
 swedencentral                            gpt-4o-mini                                      OpenAI.Standard.gpt-4o-mini     450      0        450 Count
 swedencentral                                 gpt-4o                                     OpenAI.GlobalStandard.gpt-4o     450      0        450 Count
 swedencentral                            gpt-4o-mini                                OpenAI.GlobalStandard.gpt-4o-mini    2000   2000          0 Count
 swedencentral                gpt-4o-realtime-preview                    OpenAI.GlobalStandard.gpt-4o-realtime-preview       6      0          6 Count
 swedencentral           gpt-4o-mini-realtime-preview               OpenAI.GlobalStandard.gpt-4o-mini-realtime-preview       6      6          0 Count
 swedencentral                   gpt-4o-audio-preview                       OpenAI.GlobalStandard.gpt-4o-audio-preview   30000      0      30000 Count
 swedencentral                                 gpt-4o                                   OpenAI.DataZoneStandard.gpt-4o     300      0        300 Count
 swedencentral                            gpt-4o-mini                              OpenAI.DataZoneStandard.gpt-4o-mini    1000      0       1000 Count
 swedencentral                                 gpt-4o                                      OpenAI.DataZoneBatch.gpt-4o   30000      0      30000 Count
 swedencentral                            gpt-4o-mini                                 OpenAI.DataZoneBatch.gpt-4o-mini  100000      0     100000 Count
 swedencentral                      gpt-4o-transcribe                          OpenAI.GlobalStandard.gpt-4o-transcribe     400      0        400 Count
 swedencentral                 gpt-4o-mini-transcribe                     OpenAI.GlobalStandard.gpt-4o-mini-transcribe     600      0        600 Count
 swedencentral                           gpt-35-turbo                                     OpenAI.Standard.gpt-35-turbo     180      0        180 Count
 swedencentral                  gpt-35-turbo-finetune                            OpenAI.Standard.gpt-35-turbo-finetune     500      0        500 Count
 swedencentral                  gpt-35-turbo-instruct                            OpenAI.Standard.gpt-35-turbo-instruct     240      0        240 Count
 swedencentral             gpt-35-turbo-1106-finetune                       OpenAI.Standard.gpt-35-turbo-1106-finetune     500      0        500 Count
 swedencentral             gpt-35-turbo-0125-finetune                       OpenAI.Standard.gpt-35-turbo-0125-finetune     500      0        500 Count
 swedencentral                           gpt-35-turbo                                  OpenAI.GlobalBatch.gpt-35-turbo 1000000      0    1000000 Count
